Year,Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2008,2008-09,ADF (D),1137555756,146645196,365621213,1649822165,22683718370,4868499280,6239120922,33791338573,4447572,361588,1392288,6201448
2008,2008-09,AMEX (A),0,1034870814,3468100,1038338914,0,30229932283,93593259,30323525542,0,1403025,4421,1407446
2008,2008-09,CBOE (W),96799700,160083400,94909600,351792700,1697370826,9050403500,1734308709,12482083035,41863,95656,280328,417847
2008,2008-09,CHX (M),496229097,217093862,126252281,839575240,9956024852,16145810736,3007540969,29109376557,914510,106274,227366,1248150
2008,2008-09,ISE (I),2183156564,78393733,199736114,2461286411,43588778408,3406187183,3198295227,50193260818,11360282,199032,678940,12238254
2008,2008-09,NSX (C),2189932227,906558741,1295686894,4392177862,28424026023,31217505108,18754652144,78396183276,6579086,2309421,5842448,14730955
2008,2008-09,NSX (DC),6496132608,1107792686,2871045969,10474971263,77065935626,31318852738,44481251186,1.53E+11,20742554,3155327,11023309,34921190
2008,2008-09,NYSE (DN),10843194718,6021749827,5744863241,22609807786,1.98E+11,2.17E+11,1.10E+11,5.25E+11,69123706,22479141,32304794,123907641
2008,2008-09,NYSE (N),33716028775,0,100,33716028875,7.02E+11,0,0,7.02E+11,108532196,0,1,108532197
2008,2008-09,NYSE Arca (P),25800967262,12320748841,9314988629,47436704732,4.67E+11,4.88E+11,1.77E+11,1.13E+12,144569005,35614323,46902424,227085752
2008,2008-09,Nasdaq (DQ),26112914942,6083905392,10882567472,43079387806,3.91E+11,2.40E+11,1.62E+11,7.93E+11,47695172,6500840,18076677,72272689
2008,2008-09,Nasdaq (Q),33065962746,14728193052,22030019103,69824174901,5.75E+11,6.15E+11,3.95E+11,1.58E+12,179237954,44992171,93786364,318016489
2008,2008-09,PHLX (X),57384800,18385500,10278714,86049014,1124338732,589194433,255110668.2,1968643833,845,101,208,1154
2008,2008-10,ADF (D),1501255865,146466408,634682656,2282404929,37004932746,6936355758,12936938850,56878227354,6470379,418823,2559624,9448826
2008,2008-10,AMEX (A),0,1088623511,1596600,1090220111,0,39175345790,40125320,39215471110,0,1410013,2969,1412982
2008,2008-10,BATS (Z),100950746,250809,65101738,166303293,2079222111,5089640.19,2830550850,4914862602,719723,608,488264,1208595
2008,2008-10,CBOE (W),109947300,235863500,115798200,461609000,4670519801,16596402052,2838227540,24105149393,48939,194664,502650,746253
2008,2008-10,CHX (M),608110159,382733805,217706943,1208550907,19226609363,31943641777,6142546032,57312797172,1393446,286811,328567,2008824
2008,2008-10,ISE (I),3821259087,170800631,471301413,4463361131,89198127113,6659099430,7872284144,1.04E+11,20991637,475819,1613523,23080979
2008,2008-10,NSX (C),1886641059,1259857588,1544788737,4691287384,36740154510,56556884592,28771828930,1.22E+11,7451090,3672741,7557507,18681338
2008,2008-10,NSX (DC),3702751354,870119308,914804467,5487675129,68922047877,36205872205,20353637760,1.25E+11,13498204,2673303,3478488,19649995
2008,2008-10,NYSE (DN),13452538654,7738913137,6429253632,27620705423,3.45E+11,3.81E+11,1.49E+11,8.76E+11,93295059,32862581,37553875,163711515
2008,2008-10,NYSE (N),39076709840,0,2800,39076712640,9.95E+11,0,95890,9.95E+11,130035478,0,8,130035486
2008,2008-10,NYSE Arca (P),29765598252,15601769511,11174743652,56542111415,7.08E+11,7.57E+11,2.72E+11,1.74E+12,184048113,49731744,58558041,292337898
2008,2008-10,Nasdaq (DQ),30083054143,7980795568,14259390062,52323239773,5.97E+11,3.79E+11,2.79E+11,1.26E+12,62887854,11083546,28771584,102742984
2008,2008-10,Nasdaq (Q),37348062732,19641361016,28516738453,85506162201,8.72E+11,1.09E+12,6.55E+11,2.61E+12,218369983,66548993,123833134,408752110
2008,2008-10,PHLX (X),33028900,7805500,7703750,48538150,798918057,264899723,255526404,1319344184,446,74,81,601
2008,2008-11,ADF (D),1167149476,158633849,492194509,1817977834,24612735530,6910179033,8518585929,40041500493,5518333,414480,2152976,8085789
2008,2008-11,AMEX (A),0,391881178,435300,392316478,0,10150859994,2420540,10153280534,0,535970,1444,537414
2008,2008-11,BATS (Z),8801543162,5687895657,3982594470,18472033289,1.88E+11,2.64E+11,84044839432,5.36E+11,62116984,24784694,24176295,111077973
2008,2008-11,CBOE (W),102703500,267124500,56348100,426176100,5258381260,16943721206,1431083720,23633186186,47991,263573,256020,567584
2008,2008-11,CHX (M),502111056,280171668,124405138,906687862,12993420782,20425706546,3064524242,36483651570,1123370,242795,244823,1610988
2008,2008-11,ISE (I),1723851317,264028449,585843880,2573723646,26982339175,8725700265,8163211992,43871251431,6166010,607148,2038145,8811303
2008,2008-11,NSX (C),840648176,350718798,365334268,1556701242,14815601855,11881962163,7381336761,34078900779,3215793,785216,1866927,5867936
